iter	Passed	Remaining
0	0	80
1	1	74
2	2	69
3	2	64
4	3	64
5	3	62
6	4	60
7	5	59
8	5	58
9	6	57
10	7	56
11	7	56
12	8	55
13	9	55
14	9	55
15	10	55
16	11	54
17	12	55
18	12	55
19	13	54
20	14	53
21	14	53
22	15	52
23	16	51
24	16	50
25	17	50
26	18	49
27	19	48
28	19	48
29	20	47
30	21	47
31	22	47
32	22	46
33	23	45
34	24	45
35	25	44
36	25	43
37	26	43
38	27	42
39	28	42
40	28	41
41	29	40
42	29	39
43	30	38
44	30	37
45	31	37
46	32	36
47	32	35
48	33	34
49	33	33
50	34	33
51	35	32
52	36	32
53	36	31
54	37	30
55	37	29
56	38	29
57	39	28
58	40	27
59	41	27
60	42	26
61	42	26
62	43	25
63	44	24
64	44	24
65	45	23
66	45	22
67	46	21
68	47	21
69	47	20
70	48	19
71	49	19
72	49	18
73	50	17
74	51	17
75	51	16
76	52	15
77	53	14
78	53	14
79	54	13
80	55	12
81	55	12
82	56	11
83	56	10
84	57	10
85	58	9
86	58	8
87	59	8
88	60	7
89	60	6
90	61	6
91	62	5
92	62	4
93	63	4
94	64	3
95	64	2
96	65	2
97	65	1
98	66	0
99	67	0
